,u,v,w,x,y,z
149,-9.6806,-1.8257,-0.047364,111.86,17.5,3.427
150,-10.302,-2.8772,-0.012604,113.46,17.5,3.427
151,-9.6806,-3.5782,-0.024191,115.07,17.5,3.427
152,-9.6806,-3.5782,-0.047364,116.67,17.5,3.427
153,-9.0594,-3.5782,-0.012604,118.27,17.5,3.427
154,-8.4383,-4.6298,0.045329,119.87,17.5,3.427
155,-7.196,-5.3308,0.12644,121.48,17.5,3.427
156,-6.5748,-7.0833,0.23072,123.08,17.5,3.427
157,-5.6431,-8.4853,0.31182,124.68,17.5,3.427
158,-4.7113,-7.0833,0.27706,126.29,17.5,3.427
159,-3.1584,-2.5267,0.10326,127.89,17.5,3.427
160,-2.2267,0.27732,-0.047364,129.49,17.5,3.427
161,-0.98438,0.27732,-0.082124,131.09,17.5,3.427
162,0.25794,-1.8257,-0.058951,132.7,17.5,3.427
163,0.87909,-2.8772,0.18437,134.3,17.5,3.427
164,0.25793,0.27732,-0.39496,70.188,17.5,4.57
165,0.56851,0.97834,-0.1053,71.791,17.5,4.57
166,0.56851,1.3288,-0.093711,73.393,17.5,4.57
167,0.87909,1.6793,-0.093711,74.996,17.5,4.57
168,0.87909,1.6793,-0.082124,76.599,17.5,4.57
169,1.1897,1.6793,-0.070537,78.202,17.5,4.57
170,1.1897,1.3288,-0.070537,79.805,17.5,4.57
171,1.1897,0.62783,-0.093711,81.407,17.5,4.57
172,0.87909,-0.073181,-0.093711,83.01,17.5,4.57
173,0.56851,-0.42369,-0.082124,84.613,17.5,4.57
174,0.25793,-0.42369,-0.035777,86.216,17.5,4.57
175,-0.6738,-0.42369,-0.035777,87.819,17.5,4.57
176,-0.98438,-0.42369,-0.024191,89.421,17.5,4.57
177,-1.295,-0.073181,-0.058951,91.024,17.5,4.57
178,-2.2267,0.27732,-0.1053,92.627,17.5,4.57
179,-2.2267,0.27732,-0.093711,94.23,17.5,4.57
180,-1.6055,-0.073181,-0.058951,95.833,17.5,4.57
181,0.25793,-1.4752,-0.047364,97.435,17.5,4.57
182,1.5003,-1.8257,-0.070537,99.038,17.5,4.57
183,1.1897,-1.4752,-0.082124,100.64,17.5,4.57
184,1.1897,0.27732,-0.1053,102.24,17.5,4.57
185,0.56851,1.3288,-0.15164,103.85,17.5,4.57
186,-1.295,0.97834,-0.14006,105.45,17.5,4.57
187,-6.2642,0.97834,-0.14006,107.05,17.5,4.57
188,-8.4383,1.3288,-0.20958,108.66,17.5,4.57
189,-9.37,0.62783,-0.17482,110.26,17.5,4.57
190,-10.612,-1.4752,-0.058951,111.86,17.5,4.57
191,-10.612,-2.5267,-0.012604,113.46,17.5,4.57
192,-10.612,-3.2277,-0.035777,115.07,17.5,4.57
193,-10.302,-2.5267,-0.058951,116.67,17.5,4.57
194,-9.0594,-3.2277,-0.035777,118.27,17.5,4.57
195,-8.1277,-4.9803,0.045329,119.87,17.5,4.57
196,-6.8854,-7.0833,0.13802,121.48,17.5,4.57
197,-5.6431,-9.8873,0.25389,123.08,17.5,4.57
198,-4.4008,-12.691,0.35817,124.68,17.5,4.57
199,-2.5373,-11.64,0.32341,126.29,17.5,4.57
200,-0.36322,-6.7328,0.10326,127.89,17.5,4.57
201,0.56851,-2.1762,-0.082124,129.49,17.5,4.57
202,0.87909,-1.8257,-0.11688,131.09,17.5,4.57
203,1.5003,-4.2792,-0.1053,132.7,17.5,4.57
204,2.1214,-5.3308,0.20754,134.3,17.5,4.57
205,3.0531,0.97834,-0.49924,70.188,17.5,5.713
206,3.0531,1.3288,-0.12847,71.791,17.5,5.713
207,3.3637,2.0299,-0.11688,73.393,17.5,5.713
208,3.3637,2.3804,-0.1053,74.996,17.5,5.713
209,3.3637,2.7309,-0.082124,76.599,17.5,5.713
210,3.3637,2.3804,-0.082124,78.202,17.5,5.713
211,3.3637,1.6793,-0.070537,79.805,17.5,5.713
212,3.3637,0.97834,-0.1053,81.407,17.5,5.713
213,3.0531,0.27732,-0.1053,83.01,17.5,5.713
214,2.432,-0.073181,-0.093711,84.613,17.5,5.713
215,1.5003,-0.42369,-0.058951,86.216,17.5,5.713
216,0.87909,-0.42369,-0.047364,87.819,17.5,5.713
217,0.56851,-0.073181,-0.035777,89.421,17.5,5.713
218,-0.36322,0.27732,-0.070537,91.024,17.5,5.713
219,-0.98438,0.62783,-0.11688,92.627,17.5,5.713
220,-1.295,0.97834,-0.093711,94.23,17.5,5.713
221,-0.98438,0.62783,-0.058951,95.833,17.5,5.713
222,0.25794,-0.77419,-0.035777,97.435,17.5,5.713
223,1.1897,-0.77419,-0.070537,99.038,17.5,5.713
